"id"	"aktifitas"	"created_at"	"statusenabled"	"agenda_id"	"jadwal_id"	"kd_list"	"status"
"1"	"req 251"	"25/5/2025 01:57:59"	"t"		"7"	"RSCM-2    "	"Not Yet"
"2"	"req 252 Dengan Status = Scheduled di unit - Ruang Direktur dengan PIC Dr. I Wayan Darta pada tgl 2025-05-26"	"25/5/2025 02:01:56"	"t"	"5"		"SBG-1     "	"Scheduled"
"3"	"req 252 Dengan Status = Done di unit - Ruang Direktur dengan PIC Dr. I Wayan Darta pada tgl 2025-05-25"	"25/5/2025 02:12:03"	"t"	"5"		"SBG-1     "	"Done"
"4"	"req 251 Dengan Status = Progress di Server - Not Yet pada tgl Belum Selesai"	"25/5/2025 02:15:53"	"t"		"7"	"RSCM-2    "	"Progress"
"5"	"req 251 Dengan Status = Done di Server - Development pada tgl 2025-05-25"	"25/5/2025 02:16:14"	"t"		"7"	"RSCM-2    "	"Done"
"6"	"req 251 Dengan Status = Testing dan Status Akhir - Not Yet pada tgl 2025-05-25"	"25/5/2025 02:22:17"	"t"		"7"	"RSCM-2    "	"Testing"
"7"	"req 251 Dengan Status = Done dan Status Akhir - Request Production pada tgl 2025-05-25"	"25/5/2025 02:22:31"	"t"		"7"	"RSCM-2    "	"Request Production"
"8"	"req 251 Dengan Status Server = Merge Req Production pada tgl 2025-05-25"	"25/5/2025 02:24:43"	"t"		"7"	"RSCM-2    "	"Merge Req Production"
"9"	"req 251 Dengan Status Server = Live Production pada tgl 2025-05-25"	"25/5/2025 02:27:27"	"t"		"7"	"RSCM-2    "	"Request Document"
"10"	"req 251 Dengan Status Akhir = Done pada File = 1748114946_PARU.pdf pada tgl 2025-05-25"	"25/5/2025 02:29:06"	"t"		"7"	"RSCM-2    "	"Done"
"11"	"bridging 1 Dengan Status = Testing dan Status Akhir - Not Yet pada tgl 2025-05-25"	"25/5/2025 02:36:31"	"t"		"1"	"RSF-1     "	"Testing"
"12"	"bridging 1 Dengan Status = Done dan Status Akhir - Request Production pada tgl 2025-05-25"	"25/5/2025 02:36:38"	"t"		"1"	"RSF-1     "	"Request Production"
