"id"	"jam"	"created_at"	"updated_at"	"statusenabled"
"1"	"08.00 - 09.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"2"	"09.00 - 10.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"3"	"10.00 - 11.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"4"	"11.00 - 12.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"5"	"12.00 - 13.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"6"	"13.00 - 14.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"7"	"14.00 - 15.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"8"	"15.00 - 16.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"9"	"16.00 - 17.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"10"	"17.00 - 18.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"11"	"18.00 - 19.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"12"	"19.00 - 20.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"13"	"20.00 - 21.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"14"	"21.00 - 22.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"15"	"22.00 - 23.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
"16"	"23.00 - 24.00"	"18/5/2025 19:44:15"	"18/5/2025 19:44:15"	"t"
